,affiliation,name,submission_date,shortlink,title,rec-track,latest_version_status,working_group
0,Legendary Requirements,Joe Andrieu,2021-03-17,https://www.w3.org/TR/did-use-cases/,Use Cases and Requirements for Decentralized Identifiers,False,Note,wg/did
1,GS1,Phil Archer,2021-03-17,https://www.w3.org/TR/did-use-cases/,Use Cases and Requirements for Decentralized Identifiers,False,Note,wg/did
2,W3C Invited Experts,Kim Duffy,2021-03-17,https://www.w3.org/TR/did-use-cases/,Use Cases and Requirements for Decentralized Identifiers,False,Note,wg/did
3,W3C Invited Experts,Adrian Gropper,2021-03-17,https://www.w3.org/TR/did-use-cases/,Use Cases and Requirements for Decentralized Identifiers,False,Note,wg/did
4,Gen,Drummond Reed,2021-06-29,https://www.w3.org/TR/did-cbor-representation/,The Plain CBOR Representation v1.0,False,Note,wg/did
5,W3C Invited Experts,Drummond Reed,2021-06-29,https://www.w3.org/TR/did-cbor-representation/,The Plain CBOR Representation v1.0,False,Note,wg/did
6,Digital Bazaar,Manu Sporny,2021-06-29,https://www.w3.org/TR/did-cbor-representation/,The Plain CBOR Representation v1.0,False,Note,wg/did
7,Transmute,Orie Steele,2021-10-12,https://www.w3.org/TR/did-imp-guide/,DID Implementation Guide v1.0,False,Note,wg/did
8,mesur.io,Michael Prorock,2021-10-12,https://www.w3.org/TR/did-imp-guide/,DID Implementation Guide v1.0,False,Note,wg/did
9,Danube Tech GmbH,Markus Sabadello,2021-10-12,https://www.w3.org/TR/did-imp-guide/,DID Implementation Guide v1.0,False,Note,wg/did
10,Legendary Requirements,Joe Andrieu,2021-11-19,https://www.w3.org/TR/did-rubric/,DID Method Rubric v1.0,False,Note,wg/did
11,W3C Invited Experts,Daniel Hardman,2021-11-19,https://www.w3.org/TR/did-rubric/,DID Method Rubric v1.0,False,Note,wg/did
12,Digital Bazaar,Manu Sporny,2022-07-19,https://www.w3.org/TR/did-core/,Decentralized Identifiers (DIDs) v1.0,True,Recommendation,wg/did
13,Digital Bazaar,Amy Guy,2022-07-19,https://www.w3.org/TR/did-core/,Decentralized Identifiers (DIDs) v1.0,True,Recommendation,wg/did
14,Danube Tech GmbH,Markus Sabadello,2022-07-19,https://www.w3.org/TR/did-core/,Decentralized Identifiers (DIDs) v1.0,True,Recommendation,wg/did
15,Gen,Drummond Reed,2022-07-19,https://www.w3.org/TR/did-core/,Decentralized Identifiers (DIDs) v1.0,True,Recommendation,wg/did
16,W3C Invited Experts,Drummond Reed,2022-07-19,https://www.w3.org/TR/did-core/,Decentralized Identifiers (DIDs) v1.0,True,Recommendation,wg/did
17,Digital Bazaar,Manu Sporny,2024-11-19,https://www.w3.org/TR/did-extensions-resolution/,DID Resolution Extensions,False,Note,wg/did
18,Danube Tech GmbH,Markus Sabadello,2024-11-19,https://www.w3.org/TR/did-extensions-resolution/,DID Resolution Extensions,False,Note,wg/did
19,Digital Bazaar,Manu Sporny,2025-01-28,https://www.w3.org/TR/did-1.1/,Decentralized Identifiers (DIDs) v1.1,True,First Public Working Draft,wg/did
20,Massachusetts Institute of Technology (MIT),Dmitri Zagidulin,2025-01-28,https://www.w3.org/TR/did-1.1/,Decentralized Identifiers (DIDs) v1.1,True,First Public Working Draft,wg/did
21,W3C Invited Experts,Dmitri Zagidulin,2025-01-28,https://www.w3.org/TR/did-1.1/,Decentralized Identifiers (DIDs) v1.1,True,First Public Working Draft,wg/did
22,Digital Bazaar,Manu Sporny,2025-02-19,https://www.w3.org/TR/did-extensions-methods/,DID Methods,False,Note,wg/did
23,Danube Tech GmbH,Markus Sabadello,2025-02-19,https://www.w3.org/TR/did-extensions-methods/,DID Methods,False,Note,wg/did
24,Digital Bazaar,Manu Sporny,2025-02-19,https://www.w3.org/TR/did-extensions-properties/,DID Document Property Extensions,False,Note,wg/did
25,Danube Tech GmbH,Markus Sabadello,2025-02-19,https://www.w3.org/TR/did-extensions-properties/,DID Document Property Extensions,False,Note,wg/did
26,Digital Bazaar,Manu Sporny,2025-02-19,https://www.w3.org/TR/did-extensions/,Decentralized Identifier Extensions,False,Note,wg/did
27,Danube Tech GmbH,Markus Sabadello,2025-02-19,https://www.w3.org/TR/did-extensions/,Decentralized Identifier Extensions,False,Note,wg/did
28,Danube Tech GmbH,Markus Sabadello,2025-03-13,https://www.w3.org/TR/did-resolution/,Decentralized Identifier Resolution (DID Resolution) v0.3,True,Working Draft,wg/did
29,Massachusetts Institute of Technology (MIT),Dmitri Zagidulin,2025-03-13,https://www.w3.org/TR/did-resolution/,Decentralized Identifier Resolution (DID Resolution) v0.3,True,Working Draft,wg/did
30,W3C Invited Experts,Dmitri Zagidulin,2025-03-13,https://www.w3.org/TR/did-resolution/,Decentralized Identifier Resolution (DID Resolution) v0.3,True,Working Draft,wg/did
